Silence,DFAexp,sub_id,ch
1,0.6299299406789154,1.0,0.0
1,0.7086287877877359,1.0,1.0
1,0.6968707041095051,1.0,2.0
1,0.6512750352791457,1.0,3.0
1,0.5946690921407806,1.0,4.0
1,0.6441365214705861,1.0,5.0
1,0.7484920996640135,1.0,6.0
1,0.739676802229525,1.0,7.0
1,0.6863424885866121,1.0,8.0
2,0.7423362788802439,1.0,0.0
2,0.7767042688800799,1.0,1.0
2,0.7570038957302552,1.0,2.0
2,0.759659570245264,1.0,3.0
2,0.7380103537153581,1.0,4.0
2,0.7724979506767387,1.0,5.0
2,0.7244645900743274,1.0,6.0
2,0.7120296672570469,1.0,7.0
2,0.7608373424043321,1.0,8.0
2,0.6805920591633858,1.0,9.0
1,0.7192192528598171,2.0,0.0
1,0.6660825677147894,2.0,1.0
1,0.6993359525261411,2.0,2.0
1,0.6794007494634882,2.0,3.0
1,0.739485625847475,2.0,4.0
1,0.6361705740150724,2.0,5.0
1,0.6256298544842949,2.0,6.0
1,0.7820029954280824,2.0,7.0
1,0.6979234621676355,2.0,8.0
1,0.6748930022835005,2.0,9.0
2,0.7864975245561816,2.0,0.0
2,0.7577532414925559,2.0,1.0
2,0.736594551053001,2.0,2.0
2,0.7635285448346266,2.0,3.0
2,0.7364138106792785,2.0,4.0
2,0.7518030114886849,2.0,5.0
2,0.7386803057771585,2.0,6.0
2,0.7527418199025189,2.0,7.0
2,0.7132047971175367,2.0,8.0
2,0.8045931312892253,2.0,9.0
1,0.7636004448042982,3.0,0.0
1,0.7344671203885739,3.0,1.0
1,0.7310741179682265,3.0,2.0
1,0.7471642923867716,3.0,3.0
1,0.7026978596216696,3.0,4.0
1,0.7053338372248577,3.0,5.0
1,0.7163043234065716,3.0,6.0
1,0.7880901046002075,3.0,7.0
1,0.7286469853543145,3.0,8.0
1,0.7560441848197744,3.0,9.0
2,0.7783020722082727,3.0,0.0
2,0.740358236662692,3.0,1.0
2,0.780032963008687,3.0,2.0
2,0.7430805064145509,3.0,3.0
2,0.724622372947386,3.0,4.0
2,0.737198995501732,3.0,5.0
2,0.8703956024698147,3.0,6.0
1,0.6670823474932905,4.0,0.0
1,0.6919599048197682,4.0,1.0
1,0.6186602362805875,4.0,2.0
1,0.5894759609002446,4.0,3.0
1,0.6120348210831923,4.0,4.0
1,0.6419613984593187,4.0,5.0
1,0.7607004507503574,4.0,6.0
1,0.6554737019903888,4.0,7.0
1,0.6764934179002877,4.0,8.0
2,0.8579637691093565,4.0,0.0
2,0.779242144236261,4.0,1.0
2,0.7380402458589,4.0,2.0
2,0.6949990866036615,4.0,3.0
2,0.7654401764074122,4.0,4.0
2,0.7852127332806099,4.0,5.0
2,0.7716142083497628,4.0,6.0
2,0.8010765325839897,4.0,7.0
2,0.7425869935037994,4.0,8.0
2,0.7159369553948709,4.0,9.0
1,0.7042597596217406,5.0,0.0
1,0.649916247164422,5.0,1.0
1,0.6380552484679856,5.0,2.0
1,0.6911050478442557,5.0,3.0
1,0.6723299130828673,5.0,4.0
1,0.7732647881851797,5.0,5.0
1,0.7144827681022563,5.0,6.0
1,0.6635540710848533,5.0,7.0
2,0.8463889379574316,5.0,0.0
2,0.8830321317844698,5.0,1.0
2,0.8608808683041184,5.0,2.0
2,0.8201289274368446,5.0,3.0
2,0.7888569340246757,5.0,4.0
2,0.8318278123920291,5.0,5.0
2,0.7409342568258205,5.0,6.0
2,0.7605542509018567,5.0,7.0
2,0.7404139079995233,5.0,8.0
1,0.6808751669560451,7.0,0.0
1,0.7643220219447707,7.0,1.0
1,0.7041540872851382,7.0,2.0
1,0.7262120571593287,7.0,3.0
1,0.7227469950356809,7.0,4.0
1,0.7284278783840322,7.0,5.0
1,0.6960895708745417,7.0,6.0
1,0.7318827376501801,7.0,7.0
1,0.7720464931515342,7.0,8.0
1,0.7390990218532699,7.0,9.0
2,0.7784759551819098,7.0,0.0
2,0.838657507337197,7.0,1.0
2,0.8813402760582608,7.0,2.0
2,0.8071044964255579,7.0,3.0
2,0.8041751492697836,7.0,4.0
2,0.7388099538956415,7.0,5.0
2,0.7559641264489504,7.0,6.0
2,0.7637202049285894,7.0,7.0
2,0.8606287000132699,7.0,8.0
2,0.7558160846599934,7.0,9.0
1,0.7894397830433232,9.0,0.0
1,0.750433236880442,9.0,1.0
1,0.7796901191710862,9.0,2.0
1,0.661117918725784,9.0,3.0
1,0.7049259558235574,9.0,4.0
1,0.7642667557317572,9.0,5.0
1,0.7762824332737095,9.0,6.0
1,0.7122622596340596,9.0,7.0
1,0.7192443137400651,9.0,8.0
2,0.8127906634361219,9.0,0.0
2,0.7728151600354741,9.0,1.0
2,0.7687846802964102,9.0,2.0
2,0.7358227505760248,9.0,3.0
2,0.8216210137618195,9.0,4.0
2,0.7955063235204408,9.0,5.0
2,0.8235705567546076,9.0,6.0
1,0.809216272868416,10.0,0.0
1,0.6987276628880189,10.0,1.0
1,0.7932781653829021,10.0,2.0
1,0.7548907551918881,10.0,3.0
1,0.7575985775414918,10.0,4.0
1,0.7620611983388358,10.0,5.0
1,0.68978775405564,10.0,6.0
1,0.7005823366718531,10.0,7.0
1,0.7202745637584449,10.0,8.0
1,0.7404699784739553,10.0,9.0
2,0.9204039110097457,10.0,0.0
2,0.9778013092122069,10.0,1.0
2,0.9536677552452967,10.0,2.0
2,0.8754350112517995,10.0,3.0
2,0.8955305249745229,10.0,4.0
2,0.8137227956693494,10.0,5.0
2,0.811886442695521,10.0,6.0
2,0.8138198816693443,10.0,7.0
2,0.805823130520893,10.0,8.0
1,0.7887974937434269,11.0,0.0
1,0.789617139788144,11.0,1.0
1,0.7719524051862876,11.0,2.0
1,0.7596674570221446,11.0,3.0
1,0.7680391380064283,11.0,4.0
1,0.7572803200569533,11.0,5.0
1,0.7882636318177847,11.0,6.0
1,0.7682124933118298,11.0,7.0
1,0.6889423137319326,11.0,8.0
1,0.7483651824358841,11.0,9.0
2,0.7633410659802815,11.0,0.0
2,0.7665514895712939,11.0,1.0
2,0.6425889146747304,11.0,2.0
2,0.7228987227275587,11.0,3.0
2,0.7214534353298673,11.0,4.0
2,0.826136254965544,11.0,5.0
2,0.7818151650545495,11.0,6.0
2,0.6715273787658869,11.0,7.0
2,0.6440923877602484,11.0,8.0
2,0.7096319738180179,11.0,9.0
1,0.800892522137539,12.0,0.0
1,0.8124764702437218,12.0,1.0
1,0.8206019782578405,12.0,2.0
1,0.8131987472687711,12.0,3.0
1,0.8599592485590388,12.0,4.0
1,0.7833652037787895,12.0,5.0
1,0.8047596886253524,12.0,6.0
1,0.7778227127670487,12.0,7.0
1,0.7338321791021399,12.0,8.0
1,0.729115204388157,12.0,9.0
2,0.9788207032845309,12.0,0.0
2,0.9523313131280713,12.0,1.0
2,0.948431780955092,12.0,2.0
2,0.9145798625391569,12.0,3.0
2,0.8796814830730527,12.0,4.0
2,0.8614824403436968,12.0,5.0
2,0.8043283997699947,12.0,6.0
2,0.8650251143112657,12.0,7.0
2,0.8679877480566778,12.0,8.0
1,0.8069759286614835,8.0,0.0
1,0.802015029495611,8.0,1.0
1,0.6783387030322716,8.0,2.0
1,0.6416101300971973,8.0,3.0
