Silence,DFAexp,sub_id,ch
1,0.5434378873313128,1.0,0.0
1,0.6042914157995002,1.0,1.0
1,0.5877768039024448,1.0,2.0
1,0.6040424925584149,1.0,3.0
1,0.6914408762512197,1.0,4.0
1,0.6730511234079435,1.0,5.0
1,0.5497531488819558,1.0,6.0
2,0.9982012790016848,1.0,0.0
2,0.9505273023908349,1.0,1.0
2,0.9454403318423442,1.0,2.0
2,0.9298599479761336,1.0,3.0
2,0.9606715758859867,1.0,4.0
2,0.9425964275810774,1.0,5.0
2,0.9260633582860988,1.0,6.0
2,0.9141054014283105,1.0,7.0
2,0.9162083194304518,1.0,8.0
2,0.9208616780034049,1.0,9.0
1,0.7959734328825894,2.0,0.0
1,0.7111438102722156,2.0,1.0
1,0.8256528665096474,2.0,2.0
1,0.6804961280397376,2.0,3.0
1,0.6844611022185854,2.0,4.0
1,0.7690194983310432,2.0,5.0
1,0.5985445220385796,2.0,6.0
1,0.6376283817950146,2.0,7.0
1,0.621493995768897,2.0,8.0
1,0.6264874467088586,2.0,9.0
2,0.7528137485165659,2.0,0.0
2,0.6699735987257573,2.0,1.0
2,0.6692731875614466,2.0,2.0
2,0.6325348723132697,2.0,3.0
2,0.6423502448002933,2.0,4.0
2,0.7100560240610666,2.0,5.0
2,0.6158009337413164,2.0,6.0
2,0.6509204407266219,2.0,7.0
2,0.5776219558696501,2.0,8.0
2,0.6079313157150019,2.0,9.0
1,0.9239277038618585,3.0,0.0
1,0.9169511276140735,3.0,1.0
1,0.8885209158078748,3.0,2.0
1,0.8291826977178651,3.0,3.0
1,0.8725088118926436,3.0,4.0
1,0.940378536755384,3.0,5.0
1,0.8804929892391877,3.0,6.0
1,0.8719571635567098,3.0,7.0
1,0.8757918682556185,3.0,8.0
2,0.717516311066313,3.0,0.0
2,0.7100460054549071,3.0,1.0
2,0.5961965717713801,3.0,2.0
2,0.5460924065692999,3.0,3.0
2,0.4942551570948971,3.0,4.0
2,0.6112260014773583,3.0,5.0
2,0.6239478936606353,3.0,6.0
2,0.5582621646712145,3.0,7.0
2,0.5604385905160519,3.0,8.0
2,0.5677452449928067,3.0,9.0
1,1.0410710014189408,4.0,0.0
1,1.0715732548616304,4.0,1.0
1,1.06209564792291,4.0,2.0
1,1.0572847196997874,4.0,3.0
1,1.0928279653037731,4.0,4.0
1,1.0457665580612647,4.0,5.0
1,1.0536059424652149,4.0,6.0
1,1.0750447984364955,4.0,7.0
2,1.1580050736711065,4.0,0.0
2,1.1584686944720233,4.0,1.0
2,1.191513313660429,4.0,2.0
2,1.1881456175225336,4.0,3.0
2,1.1869136709294956,4.0,4.0
2,1.1562738422313612,4.0,5.0
2,1.1829229452797994,4.0,6.0
2,1.196587608001188,4.0,7.0
2,1.1751281371255482,4.0,8.0
2,1.1884747297152818,4.0,9.0
1,1.141745614201903,6.0,0.0
1,1.1182093329116949,6.0,1.0
1,1.115378861427361,6.0,2.0
1,1.1363173179068662,6.0,3.0
1,1.1400095487770705,6.0,4.0
1,1.1044689740213438,6.0,5.0
1,1.0832395247492315,6.0,6.0
1,1.1226656377032598,6.0,7.0
1,1.1072816815769233,6.0,8.0
2,0.9170822279655694,6.0,0.0
2,1.0112355551719063,6.0,1.0
2,1.0099362968576107,6.0,2.0
2,0.99813978440715,6.0,3.0
2,0.8984113019813926,6.0,4.0
2,0.9521205728374094,6.0,5.0
2,0.9546131786252375,6.0,6.0
2,0.9903798917908719,6.0,7.0
2,0.9609716360837831,6.0,8.0
2,0.9186119456091844,6.0,9.0
1,0.9965175021512401,7.0,0.0
1,1.0069265724887777,7.0,1.0
1,1.0133813639476097,7.0,2.0
1,1.0344378865532704,7.0,3.0
1,1.0335472641642713,7.0,4.0
1,0.9588537225003091,7.0,5.0
1,1.0088998102882738,7.0,6.0
1,1.0354605213706436,7.0,7.0
1,1.0361234074658547,7.0,8.0
1,0.9703877777965995,7.0,9.0
2,1.0473582731217101,7.0,0.0
2,1.049706736124111,7.0,1.0
2,1.0262613430688456,7.0,2.0
2,1.0690658747580137,7.0,3.0
2,1.0969171535095275,7.0,4.0
2,1.0304903402844339,7.0,5.0
2,1.034272934778273,7.0,6.0
2,1.04041796208325,7.0,7.0
2,1.0406473854085148,7.0,8.0
2,1.071950967816865,7.0,9.0
1,0.9629353577338868,8.0,0.0
1,0.9396260019858784,8.0,1.0
1,0.9268101112293881,8.0,2.0
1,0.9119874832904784,8.0,3.0
1,0.9253342918612144,8.0,4.0
1,0.8955666366612953,8.0,5.0
1,0.9260678910454414,8.0,6.0
2,0.9524072644003756,8.0,0.0
2,0.91880002980597,8.0,1.0
2,0.9178934203884374,8.0,2.0
2,0.9045959782469954,8.0,3.0
2,0.9030702253433888,8.0,4.0
2,0.9959234466772894,8.0,5.0
2,0.9540503532077422,8.0,6.0
2,0.9033973940696136,8.0,7.0
2,0.934437343386017,8.0,8.0
1,0.8343044385389312,5.0,0.0
1,0.7991181051517859,5.0,1.0
1,0.8793955371190515,5.0,2.0
1,0.8078907162801947,5.0,3.0
1,0.7479440065526648,5.0,4.0
1,0.7645189564548129,5.0,5.0
1,0.8414770520781159,5.0,6.0
2,0.7077392289820437,5.0,0.0
2,0.8433656131164556,5.0,1.0
2,0.853679698181611,5.0,2.0
2,0.7453460814372255,5.0,3.0
2,0.7265408900070147,5.0,4.0
2,0.8263503948133604,5.0,5.0
2,0.8222253217279643,5.0,6.0
2,0.880773506450268,5.0,7.0
2,0.4902370030872254,5.0,8.0
1,0.9105869865707966,9.0,0.0
1,0.915385011928837,9.0,1.0
1,0.7880273610740027,9.0,2.0
1,0.7310710699789702,9.0,3.0
1,0.6849023902396036,9.0,4.0
1,0.660394494623409,9.0,5.0
1,0.6112331996883601,9.0,6.0
1,0.589609972072805,9.0,7.0
1,0.8607160543099185,9.0,8.0
2,0.5771149062941264,9.0,0.0
2,0.6456908602194413,9.0,1.0
2,0.6701130698368123,9.0,2.0
2,0.7668987641380696,9.0,3.0
2,0.608249881273903,9.0,4.0
2,0.7071506205039375,9.0,5.0
2,0.677968451495306,9.0,6.0
2,0.5915750470505001,9.0,7.0
2,0.651100494360052,9.0,8.0
2,0.6692174541066981,9.0,9.0
