Silence,DFAexp,sub_id,ch
1,0.9279933144162853,3.0,0.0
1,0.9155096748912521,3.0,1.0
1,0.9280073927254217,3.0,2.0
1,0.8996205970680246,3.0,3.0
1,0.9482367996100554,3.0,4.0
1,0.8795277799370006,3.0,5.0
1,0.9268604024298542,3.0,6.0
1,0.9141657465329187,3.0,7.0
1,0.8422185844770057,3.0,8.0
1,0.9473940906800205,3.0,9.0
2,0.7853795276155835,3.0,0.0
2,0.8325342104159801,3.0,1.0
2,0.8202679503208393,3.0,2.0
2,0.7878998697875306,3.0,3.0
2,0.7699987774901387,3.0,4.0
2,0.8505264622048738,3.0,5.0
2,0.8206791371012373,3.0,6.0
2,0.796557059933801,3.0,7.0
2,0.7388605021522334,3.0,8.0
2,0.6980604772560874,3.0,9.0
1,0.8688594693527956,7.0,0.0
1,0.8401479362196325,7.0,1.0
1,0.8361726707787173,7.0,2.0
1,0.836214476637925,7.0,3.0
1,0.829974605025035,7.0,4.0
1,0.8326195246339084,7.0,5.0
2,0.7786339741147501,7.0,0.0
2,0.7664250170028283,7.0,1.0
2,0.7898148066297868,7.0,2.0
2,0.7678173798635483,7.0,3.0
2,0.7770457292747655,7.0,4.0
2,0.7900372300338154,7.0,5.0
2,0.7510933873294561,7.0,6.0
2,0.7866996131697164,7.0,7.0
1,1.1884399096174096,2.0,0.0
1,1.1379798008566908,2.0,1.0
1,1.1470463189751736,2.0,2.0
1,1.1537463500155343,2.0,3.0
1,1.165784420928943,2.0,4.0
1,1.1172810241670628,2.0,5.0
2,1.0257536054101861,2.0,0.0
2,0.9640059094698912,2.0,1.0
2,0.9631202470787457,2.0,2.0
2,1.0024410663105958,2.0,3.0
2,1.0052312948696749,2.0,4.0
2,0.9627009510608496,2.0,5.0
2,0.9672521724599052,2.0,6.0
2,0.9730134188930455,2.0,7.0
2,0.9242239071637364,2.0,8.0
2,0.9283501228878244,2.0,9.0
1,1.1192461615206288,5.0,0.0
1,1.1393782226204605,5.0,1.0
1,1.0442060637649637,5.0,2.0
1,1.0560475793554405,5.0,3.0
1,1.0881821275693269,5.0,4.0
1,1.0947790454628992,5.0,5.0
1,1.0726391407712725,5.0,6.0
1,1.089876883836403,5.0,7.0
1,1.0450591322463731,5.0,8.0
1,1.0905595589912216,5.0,9.0
2,1.0299721020758001,5.0,0.0
2,0.974658068877788,5.0,1.0
2,0.9078606019263932,5.0,2.0
2,0.9940000370012447,5.0,3.0
2,0.8541678014818083,5.0,4.0
2,0.8774267187646146,5.0,5.0
2,0.8864819648234805,5.0,6.0
2,0.9873919051279677,5.0,7.0
1,1.0278243049704718,6.0,0.0
1,1.0262158975333815,6.0,1.0
1,1.0116535504708049,6.0,2.0
1,1.0380277838377054,6.0,3.0
1,1.054524297529484,6.0,4.0
1,1.0078141999848584,6.0,5.0
1,0.9998183534293875,6.0,6.0
2,1.132460245222989,6.0,0.0
2,1.0464825989222848,6.0,1.0
2,1.0384094311017191,6.0,2.0
2,1.0406791092373766,6.0,3.0
2,1.0666913672756126,6.0,4.0
2,1.0424449568160963,6.0,5.0
2,1.02939338674735,6.0,6.0
2,1.0423635644016438,6.0,7.0
2,1.0388044062284645,6.0,8.0
1,0.9071727668697438,8.0,0.0
1,0.9029194780097859,8.0,1.0
1,0.8936651683597282,8.0,2.0
1,0.8749749818346916,8.0,3.0
1,0.8572278309483388,8.0,4.0
1,0.8718839820516043,8.0,5.0
1,0.8551347160685281,8.0,6.0
1,0.8863728531089226,8.0,7.0
1,0.9299730293185375,8.0,8.0
2,0.8245532639250381,8.0,0.0
2,0.8440289209101994,8.0,1.0
2,0.846722717285473,8.0,2.0
2,0.8343054349855545,8.0,3.0
2,0.8258398992045745,8.0,4.0
2,0.8390194520055626,8.0,5.0
2,0.8032184333426433,8.0,6.0
2,0.829439145829179,8.0,7.0
2,0.8447176982064266,8.0,8.0
1,1.0511469768452635,10.0,0.0
1,0.9321422675088997,10.0,1.0
1,1.0184922051782224,10.0,2.0
1,1.0318768580296824,10.0,3.0
1,1.038282124707686,10.0,4.0
1,0.9918543884518869,10.0,5.0
1,0.9739559135320608,10.0,6.0
1,0.9651988345408802,10.0,7.0
1,0.9894385561837398,10.0,8.0
1,0.9786126186606652,10.0,9.0
2,1.3088284831373935,10.0,0.0
2,1.139034634468302,10.0,1.0
2,1.140371189679406,10.0,2.0
2,1.1365027227954605,10.0,3.0
2,1.122490378270419,10.0,4.0
2,1.089691618751754,10.0,5.0
2,1.1315435382034567,10.0,6.0
2,1.0972693751710083,10.0,7.0
1,1.0164399694109871,11.0,0.0
1,1.0218395027695166,11.0,1.0
1,1.0055795854224696,11.0,2.0
1,1.0556794259823112,11.0,3.0
1,1.059341935527763,11.0,4.0
2,0.6347247822657532,11.0,0.0
2,0.7405801271863192,11.0,1.0
2,0.8171664984783107,11.0,2.0
2,0.6273345512528865,11.0,3.0
2,0.7976568734576734,11.0,4.0
2,0.717260751044503,11.0,5.0
2,0.6885150042215065,11.0,6.0
2,0.7306184197479196,11.0,7.0
2,0.6957758902634674,11.0,8.0
1,1.0408220842641907,12.0,0.0
1,1.0338113593509586,12.0,1.0
1,0.9743957162662069,12.0,2.0
1,1.0007686470872148,12.0,3.0
1,1.0069948649022833,12.0,4.0
1,0.9736671253481712,12.0,5.0
1,0.9200356188906611,12.0,6.0
1,0.9634611163114667,12.0,7.0
1,0.9344046073695513,12.0,8.0
1,1.0036071849290509,12.0,9.0
2,0.8358240426733551,12.0,0.0
2,0.7151603658174506,12.0,1.0
2,0.7818241092194433,12.0,2.0
2,0.7012893391141763,12.0,3.0
2,0.7071987359207439,12.0,4.0
2,0.7544820342927621,12.0,5.0
2,0.6871782817815288,12.0,6.0
2,0.6923425015648059,12.0,7.0
2,0.6751791351423502,12.0,8.0
1,1.027962589076998,1.0,0.0
1,1.0179008418219795,1.0,1.0
1,1.005566847194256,1.0,2.0
1,0.9689525106754802,1.0,3.0
1,1.019720785834653,1.0,4.0
1,1.0112643289878616,1.0,5.0
1,0.9951481033079794,1.0,6.0
1,0.9536596996885565,1.0,7.0
2,0.7110246136007572,1.0,0.0
2,0.7825017580497357,1.0,1.0
2,0.7521426611919131,1.0,2.0
2,0.7726295720538504,1.0,3.0
2,0.7147351067979291,1.0,4.0
2,0.731158714692214,1.0,5.0
2,0.7023714385657924,1.0,6.0
2,0.6952760057618652,1.0,7.0
2,0.6666479734606333,1.0,8.0
1,1.0650612129021495,4.0,0.0
1,1.0339078651791598,4.0,1.0
1,1.0396905358907678,4.0,2.0
1,1.0102879806137528,4.0,3.0
1,0.9925300639450144,4.0,4.0
2,0.7084334149408824,4.0,0.0
2,0.763692763607369,4.0,1.0
2,0.8537592907345857,4.0,2.0
2,0.8002412054173429,4.0,3.0
2,0.8048393040214135,4.0,4.0
2,0.7735613446364316,4.0,5.0
2,0.7384642047889886,4.0,6.0
2,0.6747740522793318,4.0,7.0
2,0.7431329620821814,4.0,8.0
2,0.7503762819424058,4.0,9.0
1,1.0837578148482847,9.0,0.0
1,0.9908321814727573,9.0,1.0
1,1.0261053228207562,9.0,2.0
1,1.060913825835633,9.0,3.0
1,1.0631094139346144,9.0,4.0
1,1.0087892071541025,9.0,5.0
