Silence,DFAexp,sub_id,ch
1,0.9712467224953911,1.0,0.0
1,0.9349288034162363,1.0,1.0
1,0.9365716628455363,1.0,2.0
1,0.9547428119232598,1.0,3.0
1,1.039668818370863,1.0,4.0
1,0.9413883166428416,1.0,5.0
1,0.9429736376201882,1.0,6.0
1,0.9328884067251413,1.0,7.0
1,0.9306547203129709,1.0,8.0
2,1.036434205380115,1.0,0.0
2,0.966618217962776,1.0,1.0
2,0.9904542241247368,1.0,2.0
2,0.9889002351167249,1.0,3.0
2,0.9895875613932137,1.0,4.0
2,0.9853248165582951,1.0,5.0
2,0.9944940668450812,1.0,6.0
2,0.9875107900363609,1.0,7.0
2,0.9857171576148052,1.0,8.0
2,0.9296258711534131,1.0,9.0
1,0.9749220505813296,2.0,0.0
1,0.8794626987847058,2.0,1.0
1,0.8493255054368711,2.0,2.0
1,0.8591603530864722,2.0,3.0
1,1.0641777493218023,2.0,4.0
1,0.9792503361651881,2.0,5.0
1,0.8761877362979625,2.0,6.0
1,0.8822608831688803,2.0,7.0
1,0.830754949469445,2.0,8.0
1,0.8476134608187456,2.0,9.0
2,0.8479876307665135,2.0,0.0
2,0.8335051690875479,2.0,1.0
2,0.8454646511565072,2.0,2.0
2,0.8066990111122951,2.0,3.0
2,0.787446230182306,2.0,4.0
2,0.9327171967696317,2.0,5.0
2,0.7935424353124946,2.0,6.0
2,0.8134903729206634,2.0,7.0
2,0.8084626939307666,2.0,8.0
2,0.782023646393776,2.0,9.0
1,1.1207222366558753,3.0,0.0
1,1.1490052168215077,3.0,1.0
1,1.1452514099639393,3.0,2.0
1,1.1428377309368016,3.0,3.0
1,1.147356441305649,3.0,4.0
1,1.1419886052811454,3.0,5.0
1,1.1423466850011883,3.0,6.0
1,1.1304975205976753,3.0,7.0
1,1.1378125729119404,3.0,8.0
1,1.0164691813477087,3.0,9.0
2,1.1370014221399742,3.0,0.0
2,1.1340826887934838,3.0,1.0
2,1.1050257176310665,3.0,2.0
2,1.1270672442019145,3.0,3.0
2,1.1251203069028533,3.0,4.0
2,1.1300732316209676,3.0,5.0
2,1.1064619248595924,3.0,6.0
1,0.8819634011654531,4.0,0.0
1,1.0447952556013234,4.0,1.0
1,0.843479174552098,4.0,2.0
1,0.8335767282764569,4.0,3.0
1,0.82021405606051,4.0,4.0
1,0.8110221693984858,4.0,5.0
1,0.8497049496671327,4.0,6.0
1,0.8107397610492502,4.0,7.0
1,0.9540729429336419,4.0,8.0
2,1.135077841803184,4.0,0.0
2,1.123302482090498,4.0,1.0
2,1.1060490998259882,4.0,2.0
2,1.0942097555538481,4.0,3.0
2,1.0761718827650761,4.0,4.0
2,1.111175767846039,4.0,5.0
2,1.1176913820962746,4.0,6.0
2,1.0982505743564976,4.0,7.0
2,1.0914519837207768,4.0,8.0
2,1.0901149577206408,4.0,9.0
1,1.0628507000130534,5.0,0.0
1,1.065397639387268,5.0,1.0
1,1.0554660613998046,5.0,2.0
1,1.0289268120637847,5.0,3.0
1,1.0322600813481437,5.0,4.0
1,1.0518666735892621,5.0,5.0
1,1.040443387900533,5.0,6.0
1,1.037342780035494,5.0,7.0
2,0.8727876163931934,5.0,0.0
2,0.8991534252418157,5.0,1.0
2,0.9009169561036118,5.0,2.0
2,0.8560619315909705,5.0,3.0
2,0.8802258299800606,5.0,4.0
2,0.8184905995056253,5.0,5.0
2,0.838179940216921,5.0,6.0
2,0.8439129688256535,5.0,7.0
2,0.8052772342715311,5.0,8.0
1,1.0164240246756935,7.0,0.0
1,1.015855763232779,7.0,1.0
1,1.022361783303938,7.0,2.0
1,1.0190381639918908,7.0,3.0
1,1.023369575345329,7.0,4.0
1,1.0410434531347026,7.0,5.0
1,1.0151705413680985,7.0,6.0
1,0.999711705966045,7.0,7.0
1,1.0085349259404377,7.0,8.0
1,0.998462677669316,7.0,9.0
